Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2023-05-12,185.97972106933594,186.07455641351362,184.87021699769824,185.24005168824414,2739800
2023-05-15,184.22537231445312,186.7004241681022,183.9693284758436,186.40645487591848,2946400
2023-05-16,183.4287872314453,184.4245003765938,182.5848048354289,184.4245003765938,5803100
2023-05-17,182.12962341308594,183.58051430675476,180.97270179632721,183.31499273600755,4878800
2023-05-18,181.65548706054688,181.79774007011065,180.5649530030977,181.4279053969909,3709400
2023-05-19,181.92100524902344,182.88827071058842,181.21927583971478,182.5089582985211,3883000
2023-05-22,176.9898681640625,181.49427170311395,176.7717642547796,181.304615500701,5787000
2023-05-23,176.44935607910156,176.98039926032507,175.04586827747775,176.8476384650192,6382300
2023-05-24,175.33035278320312,177.08470522979974,174.8372350762405,176.63900519136365,3721000
2023-05-25,174.29672241210938,174.69500480085145,172.54236988255926,173.25359153456472,4712700
2023-05-26,174.08810424804688,174.72346055002956,172.96910793974502,174.21138730375054,4449300
2023-05-30,172.21995544433594,173.62342880702508,171.35700302092337,172.646685547942,4331800
2023-05-31,172.92169189453125,175.0743122821791,172.0777094701175,173.40531739509157,20414600
2023-06-01,173.9768829345703,174.45434295049662,172.64954467313217,174.19651046203788,5277400
2023-06-02,175.76255798339844,175.9821854849399,173.5089463914189,173.81452775958232,4288300
2023-06-05,175.88671875,177.77745628754172,175.33286339639224,175.56204944403362,4311700
2023-06-06,173.37525939941406,176.77477200396388,172.29619522054946,176.6410837971868,3975600
2023-06-07,171.99063110351562,173.54715526956252,171.59911043080461,172.5635888963084,5162700
2023-06-08,173.8909454345703,174.08192652873947,171.2458128390106,171.59912859176976,4036100
2023-06-09,174.12966918945312,174.58802671317747,172.84052135100737,173.518520967513,3200100
2023-06-12,173.69993591308594,174.4925212330392,172.54449091443433,174.26334976668707,4207100
2023-06-13,173.3561553955078,173.97686208437764,172.91690039321503,173.91956922068044,2838700
2023-06-14,174.91270446777344,175.37106201363855,173.26069685491944,173.7954497535827,3559300
2023-06-15,177.33819580078125,177.77745083162628,175.24691871436838,175.95355017379453,4326100
2023-06-16,177.65330505371094,179.13343392344595,177.3286357604825,177.74880287921218,8925100
2023-06-20,176.95623779296875,179.4008308677957,176.8894009642117,178.13078541217055,4154800
2023-06-21,177.07080078125,178.45544637680118,175.88670935896528,177.3477357287291,3832400
2023-06-22,178.90426635742188,179.1238938757577,177.49097427797747,178.31220605406224,3185800
2023-06-23,177.68197631835938,179.52496497539337,177.56737600695578,179.52496497539337,7592600
2023-06-26,176.55514526367188,178.02571554457307,175.81985283776038,177.7678976545531,3706100
2023-06-27,177.8251953125,178.19761351237852,175.66708145819402,176.34506646701075,5763000
2023-06-28,175.41879272460938,178.32175754595852,175.11322591605386,177.85384152272917,5193900
2023-06-29,175.59068298339844,175.60022693725315,173.21292709060447,174.98907875934796,5770400
2023-06-30,176.8702850341797,177.1567639507428,175.5906957205771,175.74347184794416,7635100
2023-07-03,177.233154296875,177.27134468490797,175.19917007470823,175.99175540742615,2389000
2023-07-05,178.16897583007812,178.27401761319896,176.63155404308577,176.66020047748935,5277100
2023-07-06,178.18807983398438,178.3313120072274,176.55516020439882,177.4336848657764,5592100
2023-07-07,174.82675170898438,177.50053056750647,174.77900279579384,177.44323770004686,6309900
2023-07-10,175.9917449951172,177.52916665636047,175.49518255453157,175.77211749234579,5508800
2023-07-11,175.6861572265625,176.4023471438351,174.19648452998285,176.06813392499393,3915200
2023-07-12,174.91270446777344,176.28779167629244,174.73126732624334,175.68618737983445,6080100
2023-07-13,179.07614135742188,179.58224777739966,174.99862899316312,177.42413388411558,8223100
2023-07-14,179.72549438476562,180.12655902459187,178.65597410763988,179.39126656611586,4467000
2023-07-17,177.2617950439453,178.57957466718477,177.0612554431686,177.93978004896894,5637400
2023-07-18,176.13497924804688,178.3981494041701,175.53338959670634,177.0803552300418,5684100
2023-07-19,177.86338806152344,178.18807192466744,176.10633881675923,176.6601941469197,4140800
2023-07-20,180.766357421875,181.42525454778314,178.38860139597224,179.04749852188039,5056500
2023-07-21,181.5876007080078,182.83854364562507,180.7663688798961,181.53985179119084,15021400
2023-07-24,182.31332397460938,182.80032792726905,181.56848754304858,181.9981986272686,4225800
2023-07-25,182.73348999023438,183.3541821557763,181.49209108822785,181.82631891331823,3521600
2023-07-26,182.96267700195312,183.70751343291496,181.49209204887873,182.50430491295907,3898900
2023-07-27,180.03106689453125,183.62156085817725,179.9069226315186,183.34464046867544,4141800
2023-07-28,181.73081970214844,182.74303255316386,181.23425723094223,181.56848505348773,5602300
2023-07-31,179.00930786132812,181.04327753321783,178.42680608418536,180.9095893173616,5687700
2023-08-01,178.39816284179688,180.0979192899171,177.9970836161299,179.03795749847828,2853900
2023-08-02,179.82098388671875,181.40615459271478,177.99708317937117,178.17852031174604,4285900
2023-08-03,178.6846466064453,180.68998466902417,178.5414144180859,179.68731563773474,2857400
2023-08-04,176.2782440185547,179.53451025900034,176.03951401017144,178.68463201199296,4650400
2023-08-07,178.46499633789062,178.77057772871578,176.75569596709596,176.92757457124307,3323400
2023-08-08,176.12545776367188,179.02840832771085,175.73393704301512,178.76103187724374,5017900
2023-08-09,175.6861572265625,176.66017959391118,174.3970241180245,175.5906739801455,4413100
2023-08-10,175.466552734375,177.22360206473442,175.25646916542735,175.9153663070429,3727200
2023-08-11,175.7434539794922,175.97264000362514,175.01772009278676,175.7052635942641,2872500
2023-08-14,175.3424072265625,176.52651328215183,174.87450574797904,176.07769971266603,3385600
2023-08-15,173.1747283935547,175.18960995026825,172.96464485145782,174.89357254391632,3331800
2023-08-16,173.04107666015625,174.70262829847073,172.79278811030287,173.413494914012,2633700
2023-08-17,170.4054718017578,173.23204142483942,170.28134210946385,173.04106033822163,4503000
2023-08-18,170.14764404296875,171.455894393001,169.2786778891026,170.41503505676215,6020300
2023-08-21,169.06858825683594,169.93756895047878,168.2855468658375,169.7179268602683,4284100
2023-08-22,167.77943420410156,168.8489544684612,167.40701600221374,168.23779170544296,3491500
